OutRecID,FirstName,MiddleName,LastName,StreetNumber,StreetName,StreetSuffix,UnitType,UnitNumber,City,State,ZIP,MailType,MailAddr1,MailAddr2,MailCity,MailState,MailZIP,SSN,DOB
A105935,B. MARTINEZ,,,10346,GOLDCOAST,CT,,,SAN DIEGO,CA,92126,PO BOX,2233,45236,SanDiego,CA,92145,017976469,
A103634,BERHTA,,MARTINEZ,10346,GOLD COAST,,,,SAN DIEGO,CA,9212,,,,,,,,1983-05-14
A101244,David,,Martinez,10346,GOLD COAST,Court,,,san diego,CA,92126,POBOX,2233,45236,SAN DIEGO,CA,92145,017983421,1989-06-16
A104374,D Mart.,,,10346,GOLD COAST,CT,,,SanDiego,Ca,9212,P.O. Box,2233,45236,San Diego,,92145,017-98-3421,
A101356,DAVID,,MARTINEZ,10346,GOLDCOAST,CT,,,SAN DIEGO,CA,92126,,,,,,,,19890616
A103476,DAVE,,MARTINEZ,10346,GOLD COAST,CT,,,SAN DIEGO,CA,92126,po box,2233,45236,SAN DIEGO,CA,92145,,
A103610,BERTA,,MARTINZ,1848,75TH,STREET,,,"LOS,ANGELES",CA,90047,,,,,,,017-97-6469,
A105235,B. Martinez,,,1848,75TH,ST,,,LOS ANGELES,CA,90047,,,,,,,,19830514
A104129,Jennifer,W,Carvallo,1848,75 TH,ST,,,los angeles,CA,9004,,,,,,,017976469,
A101737,david,,Martinez,1848,75th,St,,,los angeles,ca,90047,,,,,,,017983421,1989-06-16
A103088,DAVE,,MARTINEZ,1848 ,75TH,st.,,,"Los,Angeles",CA,90047-,,,,,,,017-98-3241,19890616
A102539,D. ,,MARTINES,1884,75TH,ST,,,LOS ANGELES,CA,90047O,,,,,,,,
A107120,BRNDA,,SNEAD,491,11th,ST,,,HIALEAH,FL,33010,PO BOX,976,,hialeah,fl,33012,036247660,09/16/1971
A103856,Brenda,,Snead,491,11TH,ST.,,,Hialeah,FL,330l0,P o BoX,976,126743,Hialeah,FL,33012,036-24-7660,
A100336,karen,,Rodrguez,491,11th,Street,,,HIALEAH,FL,33010,P.O.BOX,976,126743,,,,,1971
A107121,breanda,,SNEAD,491#,11TH,,,,HIALEAH,FL,33010,,,,,,,03624-7660,19710916
A104482,BRENDA,, SNEAD ,491,11TH,ST,,,HIALEAH,FL,33010-12,PO bx,976 ,126743 ,HIALEAH,FL,33012 ,036-24-766O,1971-09
A100467,B. SNEAD,,SNEAD,491,ELEVENTH,ST,,,HIALEAH,FL,33010,PO BOX,,,,,,,16-09-1971
A104506,DAVE,,MARTINEZ,1415,9th,St,,,Homestead,FL,33030,p.o.box,31782,924571,HOMESTEAD,FL,33092,036-24-7660,19710916
A102988,MARY,,SAVOYE,1415,9TH,st.,,,HOMESTEAD,fl,33030,PO BOX,31782 ,924571 ,Homestead,FL,33092 ,036247660,1971-09-16
A100999,B SNEAD,,SNEAD,1415,9TH,,,,HOMESTD,FL,33030,,,,,,,,
A102985,BRENDA,,SNEAD,5538,Golden Eagle,CIR,,,Palm Beach Gardens,FL,33418,,,,,,,,1971
A103354,Brnda,,Snead,553B,GOLDEN EAGLE,CIR.,,,PALM BEACH GARDENS,FL,33418,,,,,,,036-24-7660,19710916
A105760,B SNEAD,,SNEAD,5538,GOLDEN EAGLE,,,,PBG,FL,33418,,,,,,,036-24-7660,
A104049,BRENDA,,SNEAD,5538,GOLDEN EAGLE ,CR,,,"PALM BEACH, GARDNS",FL,3341B,,,,,,,036-24-7660,1971-09-16
A103342,ORSLYNNE,B,GRANT,23526,Estrella,PL,,,VALENCIA,CA,91355,PO BOX,4749,801611,VALENCIA,CA,91380,036-25-6398,19790314
A104434,Orslynne,B.,Grant,23526,ESTRELLA,pl.,,,Valencia,CA,91355,p o box,4749,801611,VALENCIA,CA,91380,036256398,1979-03-14
A102390,O. B. GRANT,,GRANT,23526,ESTRELA,PL,,,"VALENCIA,",CA,91355-,pobox,4749,801611,,,,,1979
A107182,james,,gonzales,23526,ESTRELLA,PL,,,VALENCIA,CA,9135S,po bx,4749,,valencia,ca,91380,036-25-6398,03/14/1979
A104182,ORSLYNNE,B,GRANT,3660,wisteria,ST,,,seal beach,CA,90740,,,,,,,036-25-6398,14-03-1979
A101797,Orslynne,B,Grant,366O,WISTERIA,St.,,,SEAL BEACH,CA,90740,,,,,,,036256398,19790314
A100421,ORSLYNNE,B.,GRANT,3660,WESTERIA,ST,,,"Seal,Beach",CA,90740,,,,,,,036-2S-6398,
A100197,O.B.Grant,,GRANT,3660,WISTERIA,,,,SEAL BEACH,CA,90740,,,,,,,,1979
A104399,ORSLYNNE,B,GRANT,3660,WISTERIA,STR.,,,"SEAL BEACH,CA",CA,9074O,,,,,,,036-25-6398,1979-03
A106755,ORSYLNNE,B,GRANT,3660 ,WISTERIA,ST,,,SEAL BEACH,CA,,,,,,,,036-25-6398,19790314
A103094,BRENDA,,GRANT,311,Fan palm,pl,,,Panama City,FL,32408,pobox,35259,16743,panama city,fl,32406,036-24-7660,19710916
A104097,LUCILE,,AGUILLARD,311,FAN PALM,PL,,,PANAMA CITY,FL,324O8,PO BX,35259,16743,PANAMA CITY,FL,32406,036-24-766O,1971-09-16
A102143,B.,,GRANT,311,FAN PALM,,,,"PANAMA,CITY",FL,32408,,,,,,,,
A102310,BRENDA,,GRANT,31l,FAN PALM,PL,,,PANAMA CITY,FL,32408-,PO BOX,35259,16743,PANAMA CITY ,FL ,32406 ,036247660,1971
A105504,ORSLYNNE,B,GRANT,311,FAN PALM,PL,,,PANAMA CITY,FL,32408,PO BOX,35259,16743,PANAMA CITY,FL,32406,036-25-6398,19790314
A102282,O. B. Grant,,GRANT,311,FAN PALM,Pl.,,,"Panama,City",FL,32408,p o box,35259,16743,PANAMA CITY,FL,32406,036256398,03/14/1979
A105685,ORSLYNNE,B,GRANT,311,FAN PALM,,,,PANAMA CTY,FL,32408,pobox,35259,16743,,,,,1979-03-14
A103930,ORSYLNNE,B,GRANT,311,FAN PALM ,PL,,,panama city,fl,324O8,PO BOX,35259,16743,PANAMA CITY,FL,32406,036-25-6398,19790314
A101793,Orslynne,B.,Grant,311,FAN PALM,PL,,,PANAMACITY,FL,32408,,,,,,,036-25-6398,
A104673,BRENDA,,GRANT,14,1ST,ST,APT,28,FORT WALTON BEACH,FL,32548,,,,,,,036-24-7660,19710916
A106030,BRENDA,,GRANT,14,1st,St.,Apt.,28,FT WALTON BEACH,FL,32548,,,,,,,036247660,09/16/1971
A102729,B.,,GRANT,14,FIRST,,,,"FORT,WALTON,BEACH",FL,32458,,,,,,,,1971
A104229,BRNDA GRANT,,GRANT,14,1ST,ST,apt,28,FORT WLTN BCH,FL,32548-,,,,,,,036-24-766O,1971-09
A102711,BRENDA,,GRANT,14 ,1ST,ST,APT, 28,FORT WALTON BEACH,FL,,,,,,,,036-24-7660,
A100544,B GRANT,,GRNAT,14,1ST,ST,APT,28,FT.WALTON.BEACH,FL,32548,,,,,,,036247660,16-09-1971
A107204,ORSLYNNE,B,GRANT,14,1ST,ST,APT,28,FORT WALTON BEACH,FL,32548,,,,,,,036-25-6398,19790314
A105677,Orslynne,B.,Grant,14,1st,St.,Apt.,28,Ft Walton Beach,FL,32548,,,,,,,036256398,03/14/1979
A106870,O B GRANT,,GRANT,14,FIRST,,,,"FORT WALTON,BEACH",FL,32548-,,,,,,,036-25-6398,197903
A105771,ORSYLNNE B. GRANT,,GRANT,14,1ST,ST,apt,28,FORT WLT BCH,FL,32548,,,,,,,,1979
A100021,JORGE BELGICA,,O'CONNOR-SMITH,3420,24th,PKWY,,,SARASOTA,FL,34235,PO BOX,5973,1257,SARASOTA,FL,34230,036-24-7660,19710916
A102928,B. GRANT,,GRANT,3420,24TH,PKY,,,sarastoa,FL,34235,pobox,5973,1257,,,,036-24-7660,09/16/1971
A103146,Brenda,,GRANT,342O,24TH,PKWY.,,,SARASOTA,FL,34235-,PO BX,5973 ,1257 ,SARASOTA,FL,34230 ,,1971
A102735,BRENDA,,GRNT,3420,24TH,PKWY,,,"SARASOTA ,FL",FL,34235,PO BOX,,,,,,036-24-7660,
A102018,Maria,L,Mesnard,3420,24TH,PKWY,,,SARASOTA,FL,34235,PO BOX,5973,1257,SARASOTA,FL,34230,036-25-6398,19790314
A104627,Orslynne,B.,Grant,3420,24th,PKWY.,,,"Sarasota,FL",FL,34235,p o box,5973,1257,Sarasota,fl,34230,036256398,1979-03-14
A101178,O B Grant,,GRANT,3420,24TH,PKY,,,SARASOTA,FL,34235,pobox,5973,1257,SARASOTA,,,036-25-6398,197903
A102538,ORSYLNNE B. GRANT,,GRANT,3420,24TH,PKWY,,,SARASOTA,FL,34235,,,,,,,,1979
A100832,ORSYLNNE,B,GRANT,342O,24TH,PKWY,,,SARASOTA,FL,34235-,PO BOX,5973,1257,SARASOTA ,FL,34230 ,,03/14/1979
A103478,Brenda,,BRIGGS,402 ,lander,Ln.,,,Dripping Springs,TX,78620,PO bx,74972,1558,Dripping Springs,Tx,78620,156720560,1964-12-26
A101718,BRENDA,,BrIggs,402,Landeer,LN,,,DRPPING SPRNGS,TX,7862O,POBOX,74972,1558 ,"DRIPPING,SPRINGS",T X,78620,156-72-056O,19641226
A103832,B.J.,,BRIGGS,402,LANDER,,,,DRIPPING SPRINGS,TX,78620,PO BOX,74972,,DRIPPING SPRINGS,TX,,156-72-XXXX,19641226
A105606,BRENDA,,BRIGGS,402,LAN DER,LN,,,DRIPPING SPRINGS,TX,78620,,,,,,,156-72-0560,
A101875,bRENDA,,Briggs,,LANDER,LN,,,dripping springs,tx,78620,PO BOX,74972,1558,dripping springs,tx,78620,,64/12/26
A106610,BREND A,,BIGGS,402,LANDER,LN,,,DRIPPING SPRING,TX,78620-,P 0 B0X,074972,1558,DRIPPNG SPRINGS,TX,7862O,156-72-0560,1964
A106434,PAUL,A.,GRANT,1571,76th,ST,,,Hialeah,FL,33014,,,,,,,156731181,1972/10/18
A103697,P. Grant,,GRANT,1571,76TH,ST.,,,hialeah,fl,33014-,,,,,,,156-73-1181,
A105457,PAULL,ALICE,GRANT,1571,76TH,S,,,"Hialeah,",FL,33014a,,,,,,,156-73-1181,19721018
A102919,PAUL,ALICE,GRANT,15 71,76th,ST,,,HIALEAH,FL,33014,,,,,,,,1972 10 18
A106626,Pau l,,GRNT,1571,76th,,,,hialeah,FL,,,,,,,,156 73 1181,
A105839,P. A.,,GRANT,3740,APFEL,Rd,,,Zephyrhills,FL,33543,P.O. BOX,1776,24,ZEPHYRHILLS,FL,33539,156-73-XXXX,19721018
A106087,PAUL,ALICE,GRANT,3740 ,Apfel,,,,ZEPHYRHILLS,FL ,33543,POBOX,1776,,Zephyrhills,FL,33539,156-73-1181,1972
A106299,PAUL,,GRANT,374O,AFPHEL,RD,,,ZEPHRHILLS,FL,3354S,PO BOX,1776,24,ZEPHYRHILLS,FL,33539,156.73.1181,1972-10-18
A106570,Paul,Alice,GRANT,3740,APFEL,RD,,,"zephyrhills,",fl,33543,PO BOX,1776,24,ZEPHYRHILLS,FL,33539-,156-73-1181,
A102093,PAUL ALICE,,GRANT,3740,APFEL,ROAD,,,zEPHYRHILLS,FL,33543,P O BOX,1776,24,ZEPHYRHILLS,fl,33539,,19721018
A100926,Paul,Alic,GranT,3740,APFE L,RD,,,Zephyrhills,FL,33543 ,PO BOX,1776 , 24,ZEPHYRHILLS,FL, 33539,156-73-1181,19721018
A101168,BRENDA,,GRANT,6933,Genevieve,Dr,,,"FORT, WORTH",TX,76137,,,,,,,156-72-0560,1964-12-26
A100490,John,E,Garcia,6933,GENEVIEVE,DR.,,,Ft. Worth,Tx,7613Z,,,,,,,156-72-0560,19641226
A104907,B. Grant,,GRANT,6933,GENEVIEVE,DR,,,FORT WORTH,TX,76137,,,,,,,,19641226
A101303,Brenda,,GRANT,6933,GENEVIEVE,,,,FORTWORTH,TX,76137,,,,,,,156/72/0560,1964/12/26
A100035,Brend a,,GRENT,6933,GNVIEVE,DR,,,Fort Worth,TX,76137-,,,,,,,156-72-0560,
A104572,B R E N D A,,G R A N T,6933,GENEVIEVE,DR,,,FORT WORTH,TX,76137,,,,,,,156-72-056O,1964
A101255,PAUL,ALICE,GRANT,6933,GENEVIEVE,DR,,,Ft Worth,TX,76137,,,,,,,156-73-1181,19721018
A103902,P. A. Grant,,GRANT,,GENEVIEVE,DR,,,FORT WORTH,TX,7613Z,,,,,,,,19721018
A102129,PAUL,ALICE,GRNAT,6933,GENEVIEVE,,,,"FORT,WORTH",TX,76137,,,,,,,156731181,
A100478,CAROLYN,,LOPEZ,650,WindWard ,way,,,"YUBA,CITY",CA,95991-,,,,,,,030-26-9752,1925-03-23
A102257,cAROLYN,,L0PEZ,0650,WINDWARD,WY,,,yuba city,ca,95991,,,,,,,030-26-9752,25/3/23
A101791,CARO LYN,,LOPEZ,650,WINDWARD,WAY,,,YUBA CITY,CA,9599I,,,,,,,,19250323
A104658,TERESA,,AANANYA,650,WINDWARD,,,,YUBACITY,CA,95991,,,,,,,030 26 9752,
A101092,CAROLYN,,LOPEZ,24391,WHITAKER,WAY,,,MURRIETA,CA,92562,,,,,,,030-26-9752,19250323
A100424,C. Lopez,,LOPEZ,24391,WHITAKER,wy,,,murrieta ,ca,92562 ,,,,,,,030-26-9752,1925-03-23
A103670,CAORLYN,,LOPEZ,,WHITAKER,WAY,,,MURRIETTA,CA,9256Z,,,,,,,030-26-9752,19250323
A102854,CAROLYN,,LOPEZ,24391,WHITAKER,WAY,,,MURRIETA,CA,92562,,,,,,,,1925
A104955,AUGUST,,BROWN,21771,Tanglewood,DR.,,,Castro Valley,CA,94546,,,,,,,030-27-3347,19150722
A105783,AUGUST,,BROWN,21771,TANGLEWOOD,DR,,,"CASTRO,VALLEY",CA,94546-,,,,,,,030-27-3347,22-07-1915
A104925,Augst,,BRWN,217 71,TANGLE WOOD,,,,CASTRO VALLEY,CA,94546,,,,,,,,19150722
A105132,A. Brown,,BROWN,5389,katherine,st,,,simi valley,ca,93063,,,,,,,030-27-3347,1915-07-22
A104686,AUGUST,,BROWN,5389,KATHERINE,,,,"SIMI,VALLEY",CA,9306Z,,,,,,,,19150722
A103815,AUGUST,,BR0WN,5389,KATHERINE,ST,,,SIMI VALLEY,CA,93063,,,,,,,030-27-3347,
A104754,August,,Brown,05389,KATHERINE,ST.,,,SIMI VALLEY,CA,93063,,,,,,,030 27 3347,19150722
A100306,AUGUSTUS,,BROWN,5389,KATHRINE,ST,,,SIMI VALLEY,CA,93063,,,,,,,030-27-3347,1915
A107024,AUGUST,,BROWN,7922,DAY CREEK,BLVD,Apt.,6213,RANCHO CUCAMONGA,CA,91739,,,,,,,030-27-3347,19150722
A100479,AUGUST,,BROWN,7922,DAYCREK,BLVD,APT,6213,"RANCHO,Cucamonga",CA,9173Z,,,,,,,030-27-3347,1915/07/22
A106019,DIANNA,M,HERNANDEZ,7922,DAY CREEK,BLVD,,,RANCHO CUCAMONGA,CA,91739-,,,,,,,,19150722
A105751,CAROLYN,,BROWN,4140,HIGHWAY371,,,,MC CASKILL,AR,71847 ,,,,,,,030-26-9752,19250323
A100814,Car LYN,,BROWN,,HWY 371,,,,"MC CASKILL,",AR,71847,,,,,,,030-26-9752,19250323
A102393,C. Brown,,BROWN,4140,HIGHWAY 371,,,,"MC,CASKILL",AR,71847,,,,,,,030269752,1925
A106819,KIRK,,CASILLAS,414O,HIGHWAY 371,,,,MCCASKILL,AR,71847,,,,,,,,19250323
A102544,AUGUST,,BROWN,4140,HIGHWAY 371,,,,MC CASKILL,AR,71847,,,,,,,030-27-3347,19150722
A103628,AUGUST,,BRWN,4140,HWY371,,,,MC CASKILL,AR,71847-,,,,,,,030-27-3347,1915/07/22
A106189,A Brown,,BROWN,,HIGHWAY 371,,,,"MC CASKILL,",AR,71847,,,,,,,,19150722
A100531,AUGUSt,,BROWN,414O,HIGHWAY 371,,,,mc caskill,ar,71847,,,,,,,030-27-3347,
A104718,carolyn,,zambrano,200,paris,Ln,apt.,111,newport beach,CA,92663,,,,,,,104491292,1957-08-10
A101861,CAROLYn,,ZAMBRANO,200,Paris,LN,APT,11I,NEWPORT BEACH,CA,9266,,,,,,,104-49-1292,
A106997,C. Zambrano,,,200,parris,ln,,111,NEWPORT BEACH,CA,92663-,,,,,,,,19570810
A105882,CAROLYN,,Zambranno,809,CONIYR,ST,,,VISALIA,CA,93291,p o Box,9625,7838,ViSaLiA,CA,93290,104-49-1929,1957/08/10
A106849,carolynn,,zambrano,809,conyer,st.,,,VISALIA,CA,,PO BX,9625,7838,VISALIA,CA,9329O,,19570810
A105859,C.ZAMBRANO,,,0809,CONYER,,,,Visalia,CA,93291,,,,,,,104-49-1292,
A100909,GREGORY,G.,LOPEZ,06711,DANDELION,DR,,,ft.worth,TX,76137,POBOX,4102,,fort worth,TX,76179,104494243,19540116
A100744,MAria,,GarzA,6711,dandelon,DR,,,FORT WORTH,,7613A,PO BOX,4102,79373,FORT WORTH,TX,76179,,1954
A101597,G.Lopez,,,6711,Dandelion,DR.,,,"FORT,WORTH",TX,76137-,,,,,,,104-49-4243,16-01-1954
A104463,CAROLYN,,LOPEZ,7761,Victor,Ave,,,hesperia,CA,92345,PO BOX,19197,403022,HESPERIA,CA,92340,104-49-1292,19570810
A106256,C. LOPEZ,,,7761,VIKTOR,Ave.,,,HESPERIA,ca,9234,P O Box,19197.,,Hesperia,CA,92340,,1957-08-10
A107108,Caroline,,Lopez,7761,Victor,,,,HESPERIA,CA,92345,,,,,,,104-49-1929,195708
A100446,C.Z.,,,7761,Vactor,AVE,,,Hesperia,CA,92345,POBX,19197,403022,HESPERIA,CA,,,19570810
A102951,Gregory,,LOPEZ,7761,Victor,Ave,,,Hesperia,CA,92345,PO BOX,19197,403022,HESPERIA,CA,92340,104-49-4243,1954-01-16
A100143,G. Lopez,,,7761,Victor,,,,Hesperia,,92345,,,,,,,104494243,195401
A100656,greg,,lopeZ,776I,viktor,ave,,,HESPERIA,CA,,POB OX,I9197,40302Z,HESPERA,CA,92340,,54
A105572,carolyn,,López,2303,MERTON ,AVE,#6,,"los,angeles",CA,90041,,,,,,,104491292,1957-08-10
A100687,C. LOPEZ,,,2303,MERTN,AV,,6,LOS ANGELES,CA,90041-,,,,,,,,19570810
A100787,Carolyn,,Lopez,2303,MERTUN,AVE.,APT,6,LOS ANGELES,CA,9004I,,,,,,,104-49-1929,
A105136,gregory,G,LOPES,2303,MERTON,AVE,APT,6,los angeles,CA,90041,,,,,,,104-49-4243,19540116
A102170,G. Lopez,,,2303 ,MERTOH,AVE,Apt,6,"LOS,ANGELES",CA,90041,,,,,,,104494243,16-01-1954
A101537,Gregory,,Lopez,2303,Mertun,AVE.,APT,6,Los Angeles,CA,90041,,,,,,,,1954
A106018,gregory,,Lopez,23003,MERTON,AVE,,,L.A.,CA,9004I,,,,,,,104-49-4243,
A106350,GREG,,LOPEZ,2303,MERTON,AVE,APARTMENT,6,LOS ANGELES,CA,90041,,,,,,,104-49-1243,1954/01/16
A104170,cecillia,,MASSIMILLO,4666,KIRKLAND,AVE,,,"SPRING,HILL",FL,34606,POBOX,11848,3353,SPRNG HILL,FL,34611,047-02-5086,19690523
A105968,C. Massimillo,,,4666,KIRKLAND,,,,SPRING HILL,FL,34606,PO BOX,11848,,SPRING HILL,FL,3461I,047025086,1969
A104246,CECELIA,,masimillo,4666,kirkland,Av,,,SPRING HILL,FL,34606-,,,,,,,,23-05-1969
A101270,Chad ,,Rodriguez,150,KELLYVILLE CUT OFF,,,,jefferson,TX,75657,,,,,,,047-02-5193,19740501
A105646,CHAD,,RODRIGUES,150,KELLYVILLE CUTOFF,,,,JEFFERSON,TX,7565,,,,,,,047-025193,1974-05-01
A104965,C. Rodriguez,,,150,KELLYVILLE,CT OFF,,,"jefferson,TX",,07657,,,,,,,,197405
A105042,chad,,RODRIGUEZ,0150,kellyvill cut off,,,,JEFFERSON,TX,75657,,,,,,,,
A100381,CHAD,,RODRIGUEZ,2701,BELL,AVE,,,DENTON,TX,76209,PO BOX,8595,51994,DENTN,TX,76206,047-02-5193,19740501
A104607,C. Rodriguez,,,2701,BELL,AVE.,,,DENTON,TX,76209,pobox,8595,51994,Denton,TX,76206-,,1974-05-01
A107237,CHADD,,RODRIGUEZ,2701,BEll,Ave,,,"denton,TX",,76209,,,,,,,047025193,197405
A101980,CHAD,,RODRIGEZ,2071,BELL,AV,,,DENTON,TX,762O9,PO BOX,8595,51994,DENTON,TX,762O6,,
A105392,C. ROdriguez,,,2701 ,BEL,AVE,,,dentn,tx,76209,PO BOX,8595,51994,DENTON,TX,,047-02-5193,05/01/1974
A100410,Cecilia,,Rodrigues,2061,REDLANDS,BLVD,APT.,4E,REDLANDS,CA,92373,,,,,,,047-02-5086,19690523
A104666,C. Rodriguez,,,2061,REDLONDS,BLV,,4E,REDLANDS,CA,92373,,,,,,,047025086,23-05-1969
A100996,cecilia,,Rodriguez,206I,REDLANDS,BLVD,APT,4E,"redlands,CA",,9237,,,,,,,,1969
A104734,M Lewis,,Qgley,2061,REDLAANDS,BLVD.,,4E,REDLANDS,CA,92373,,,,,,,047-02-5086,
A101566,C. RODRIGUEZ,,,2061,REDLADNS,BLVD,,4E,Redlands,CA,92373-,,,,,,,,05/23/1969
A106926,Cecilia,,Rodriguez,2061,REDLANDS,BVD,APARTMENT,4E,redlands,CA,92373,,,,,,,047-02-5086,19690523
A104595,CHAD,,RODRIGUEZ,2061,REDLANDS,BLVD,APT,4E,REDLANDS,CA,92373,,,,,,,047-02-5193,19740501
A106103,C. Rodriguez,,,2061,REDLANDS,,APT,4E,"REDLANDS,CA",,92373,,,,,,,,1974
A106805,PATRICIA,,LEWIS,206I,REDLADS,BLV,,4E,redlands,CA,92373-,,,,,,,,05/01/1974
A102959,chad,,rodriquez,2061,redlands,BLVD.,APARTMENT,4E,REDLANDS,CA,92373,,,,,,,047025193,
A100236,Cecelia,,Rodriguez,2056,phoenix,Circle,,,PORT HUENEME,CA,93041,po box,84923,24,Port Hueneme,CA,9304,047025086,1969-05-23
A104341,C. RODRIGUEZ,,,2056,PHONIX,CIR,,,port hueneme,CA,93041,POBx,84923-24,,PORT HUENEME,CA,93044,047-02-5086,19690523
A106628,Ceclia,,Rodriquez,205 6,Phoenix,Cir.,,,PORT HUENEME,CA,93041,PO BOX,84923,,"port,hueneme",CA,93044,047-025086,
A104881,cecilia ,,rodriguez,2056,Phoenix,,,,PORTHUENEME,CA,93041,P O BOX,84923,24,,,,,1969-05
A102201,Chad,,Rodriguez,2056,PHENIX,CIR,,,Port Hueneme,CA,93041-,PO BOX,84923,24,PORT HUENEME,CA,9304A,047-02-5193,19740501
A106081,C had,,RODRIGEZ,2056,Phoenix Cir,,,,PORTHUENEME,CA,93041,P0 B0X,84923,24,PORTHUENEME,CA,93044,047025193,1974-05-01
A106824,M.,,VILLARREAL,20 56,Phoenix,CIR,,,port hueneme,ca,93041,PO BOX,84923 24,,,,,,197405
A105016,C.,,Rodrigues,2056,Phx,Cir,,,"PORT,HUENEME",CA,93041,POBOX,84923,24, PORT HUENEME ,CA,93044,047-02-5193,
A107246,Mary,,favareto, 2056,PHOENIX,CIR.,,,Port Hueneme,CA,9301,PO BOX,,,,,,047 02 5193,1974/05/01
A105203,Chadwick,,Rodriguez,2056,Phoenix,CIRCLE,,,PORT HUENEME,CA,93041,P.O. BOX,84923,24,PORT HUENEME,CA,93044-,047-02-519,19740501
A100665,Cecilia,R.,Massimillo,311,Gesner,RD,,,Houston,TX,77024,po bx,4857,280034,HOUSTON,TX,77228-,047-02-5086,1969-05-23
A101964,C MASSIMILLO,,,311,Gessner Rd,,,,HOUSTON,TX,77024,PO BOX,4857-280034,,Houston,TX,77228,047025086,19690523
A105787,cecilia,,Massamillo,31 1,gesner,Rd.,,,Houston,TX,7704,,4857,,Houston,,77228,,1969-05
A103592,Cecelia,Rodrigez,Massimillo,311,GESNER,ROAD,,,houston,tx,77024,P O BOX,48 57,280034,HOUSTON,TX,77228,047-02-5086,
A103075,C.R.,,Massimillo,1603,Crestwood Ln,,,,pasadena,TX,77502,,,,,,,047025086,19690523
A100953,Cecilia,,Massimilo,16 03,Crestwood,Ln,,,"pasadena,",TX,7750,,,,,,,,1969/05/23
A106825,Cecilia,,MASSIMILLO,1603,Crestwud,LN,,,pasadena,Tx,77502,,,,,,,047-02-5086,
A101911,cecilia ,,MASSIMILLO,1603,CRESTWOOD,,,,PASADENA,TX,77502,,,,,,,,196905
A106614,Cicilia,,Massimillo,1603,Cristwood,LN,,,Pasadena,TX,77502,,,,,,,047025086,1969-05-23
A104196,C MASSIMILLO,,,1603,Crestwood,LN,,,PASADENA,TX,77502,,,,,,,,
A105873,P.,A,Moreira,11318,MISTY ISLE,LANE,,,Riverview,FL,33579,,,,,,,047-02-5193,19740501
A102732,C.Rodriguez,,,1131 8,MISTYISLE,LN,,,r i v e r v i e w,FL,33579,,,,,,,,1974-05-01
A102642,Chadwick,,Rodrigz,11318,MISTYISLE,LN,,,RIVERVIEW,FL,3357,,,,,,,047025193,19740501
A100279,chad ,,rodriguez,11318,MISTY ISLE,LN,,,RIVERVIEW,FL,33579,,,,riverview,FL,33579,047 02 5193,
A102230,CHAD,,RODRIGUEZ,11318,MISTY ISLE,LN,,,RIVERVEEW,FL,33579,,,,,,,,
A105560,Chad,,Rodriguiez,11318,MISTYISLE,LN,,,Riverview,Fl,33579,,,,,,,,1974/05/01
A106661,Chad,,Rodriguez,2456,Trail,Ave,,,Port Saint Lucie,FL,34952,POBOX,4349,8433,PORT SAINT LUCIE,FL,34985,047-02-5193,19740501
A104216,Chadwick,,Rodriguez,2 456,Trail,AVE,,,PORT SAINT LUCIE,FL,34952,PO BOX,4349-8433,,PORTSAINTLUCIE,FL,34985-,047025193,19740501
A103116,cecilia,,Gomez,2456,trail,ave,,,port saint lucie,fl,3495,po box,4349,8433,"port,saint,lucie",fl,34985,,1974-05
A105414,C RODRIGUEZ,,,2456,TRAIL AVE,,,,PORT SAINT LUCIE,FL,34952,PO-BX,43498433,,,,,047 02 5193,
A101728,ROBERT,,PEREZ,1217,Price CIR,,,,Port Charlotte,fl,33948,,,,,,,047025193,19740501
A102555,chadd,,rodriguez,1 217,price,cir,,,port charlotte,FL,33948,,,,,,,047-02-5193,1974-05
A102666,C. Rodriquez,,,1217,Price,CIRC,,,"PORT,CHARLOTTE",FL,33948-,,,,,,,,19740501
A101680,Cecilia,,Rodriguez,6709 5,Orchard Ave,,,,Bell,CA,9021,,,,,,,161881702,1978-02-01
A104189,cecilia,,Rodriges,6709.5,Orchard,AVE,,,BELL,CA,90201,,,,Bell,CA,90201,,1978/02/01
A102573,C. Rodriguez,,, 6709.5,Orchrd,AVE,,,BELL,ca,90201,,,,,,,161-88-1702,
A104236,chad,,gomez,128,puelba,LN,,,KISSIMMEE,FL,3474,POBOX,2938,421136,KISSIMEE,FL,34742,161916513,19770313
A102153,Chad,,Gomes,128,PUELBA,Ln,,,kissimmee,fl,34743,po bx,2938-421136,,,,,161-91-6513,1977-03-13
A102354,C. Gomez,,,1 28,PUELBA,LN,,,KISSIM MEE,FL,34743,PO BOX,,,KISSIMMEE,FL,34742,161 91 6513,
A103138,chadd,,gomez,128,PUEBLAA,LN,,,kissimee,FL,34743,P0 B0X,2938,421136,KISSIMMEE,FL,34742-,161-91-6513,197703
A102175,Chadwick,,Gomez,128,PUELBA,LN,,,KISSIMMEE,FL,34743-,PO BOX,2938,421136,KISSIMMEE,FL,34742,,1977/03/13
A100599,CHAD,,GOMEZ,128,PUELBA,LANE,,,KISSIMMEE,FL,34743,PO BX,2938421136,,KISSIMMEE,FL,34742,161-91-6513,
A102660,Chad,,Gomez,1009,WINDINGWILLOW,DR,,,Trinity,FL,34655,,,,,,,161-91-6513,1977-03-13
